NODE,Æ½¾ùÖµ,NUM=162,NUM=243,NUM=324,NUM=405,NUM=486,NUM=567,NUM=648,NUM=729,NUM=810,NUM=891,NUM=972,NUM=1053,NUM=1134,NUM=1215,NUM=1296,NUM=1377,NUM=1458,NUM=1539,NUM=1620,NUM=1701,NUM=1782,NUM=1863,NUM=1944,NUM=2025,NUM=2106,NUM=2187,NUM=2268,NUM=2349,NUM=2430
B43,534.6551724,29,70,131,202,215,279,286,360,361,375,449,458,458,552,569,563,591,684,700,693,704,718,816,830,850,857,862,858,985
D42,526.5862069,23,47,78,123,132,186,203,268,287,305,379,388,410,509,511,537,573,669,694,724,737,766,887,885,911,943,983,988,1125
C52,520.3448276,51,129,200,273,277,349,353,429,429,432,504,504,504,576,576,576,576,648,648,648,648,648,720,720,720,720,720,720,792
B62,506.862069,47,101,161,226,233,307,313,391,392,388,481,484,491,572,572,584,573,649,628,640,623,641,725,733,735,737,737,740,795
B41,499.0689655,44,102,155,214,223,276,276,347,347,362,417,425,427,509,515,524,546,628,640,638,653,663,744,753,780,781,779,798,907
B59,487.4137931,38,80,128,188,196,254,262,330,334,347,405,408,415,497,505,519,532,617,637,614,652,657,745,748,765,772,782,792,916
D56,481.4137931,30,63,99,140,152,196,208,262,264,284,358,361,383,454,470,475,496,604,602,622,653,685,782,799,814,875,910,930,990
C41,460.0344828,49,115,172,234,244,302,298,362,363,376,426,432,434,511,512,510,511,576,578,579,579,582,647,647,646,647,647,648,714
B58,449.2413793,44,88,132,176,178,229,231,290,297,305,360,367,372,446,457,477,483,568,586,554,599,617,697,706,717,718,733,741,860
C55,442.3793103,30,89,149,231,238,301,294,360,360,363,427,427,428,492,492,492,492,555,555,555,555,555,618,618,618,618,618,618,681
C64,418.4827586,37,101,158,217,221,279,283,345,345,348,406,406,406,464,464,464,464,522,522,522,522,522,580,580,580,580,580,580,638
B57,407,35,75,121,172,179,239,245,309,310,306,385,388,395,462,462,474,463,525,504,516,499,517,587,595,597,599,599,602,643
B64,398.862069,30,74,123,178,176,237,242,303,311,317,362,363,385,466,438,475,490,528,502,517,526,511,608,601,530,540,540,558,636
C44,392.1724138,33,83,139,206,210,266,261,318,318,319,376,376,377,434,434,435,436,492,492,492,492,492,548,548,548,548,548,548,604
B44,387.2413793,26,73,126,182,189,248,250,319,321,311,368,368,368,425,425,469,471,534,481,482,482,482,539,539,539,539,539,539,596
